year,city,zone,annual_precip_mm
1965,Port Harcourt,Coastal,2674.3
1965,Sokoto,Sahel,418.5
1966,Abuja,Guinea Savanna,1143.9
1966,Calabar,Coastal,2661.3
1966,Ilorin,Guinea Savanna,644.2
1966,Jos,Guinea Savanna,1827.1
1966,Kano,Sahel,558.3
1966,Lagos,Coastal,1747.2
1966,Maiduguri,Sahel,309.0
1966,Port Harcourt,Coastal,2354.4
1966,Sokoto,Sahel,440.3
1967,Abuja,Guinea Savanna,1316.1
1967,Calabar,Coastal,3359.1
1967,Ilorin,Guinea Savanna,749.6
1967,Jos,Guinea Savanna,1694.8
1967,Kano,Sahel,814.2
1967,Lagos,Coastal,1918.4
1967,Maiduguri,Sahel,545.8
1967,Port Harcourt,Coastal,2720.4
1967,Sokoto,Sahel,794.4
1968,Abuja,Guinea Savanna,1515.9
1968,Calabar,Coastal,3290.9
1968,Ilorin,Guinea Savanna,1042.3
1968,Jos,Guinea Savanna,2002.9
1968,Kano,Sahel,836.5
1968,Lagos,Coastal,2648.3
1968,Maiduguri,Sahel,438.2
1968,Port Harcourt,Coastal,2859.5
1968,Sokoto,Sahel,469.40000000000003
1969,Abuja,Guinea Savanna,1591.6
1969,Calabar,Coastal,3467.8
1969,Ilorin,Guinea Savanna,792.8
1969,Jos,Guinea Savanna,1891.7
1969,Kano,Sahel,871.8
1969,Lagos,Coastal,2081.6
1969,Maiduguri,Sahel,502.6
1969,Port Harcourt,Coastal,2924.7
1969,Sokoto,Sahel,610.5
1970,Abuja,Guinea Savanna,1647.1
1970,Calabar,Coastal,3105.9
1970,Ilorin,Guinea Savanna,785.0
1970,Jos,Guinea Savanna,1501.5
1970,Kano,Sahel,704.8
1970,Lagos,Coastal,2000.7
1970,Maiduguri,Sahel,537.5
1970,Port Harcourt,Coastal,2642.7
1970,Sokoto,Sahel,382.90000000000003
1971,Abuja,Guinea Savanna,1546.6
1971,Calabar,Coastal,3281.7
1971,Ilorin,Guinea Savanna,908.9
1971,Jos,Guinea Savanna,1755.8
1971,Kano,Sahel,747.7
1971,Lagos,Coastal,2361.7
1971,Maiduguri,Sahel,391.6
1971,Port Harcourt,Coastal,2821.4
1971,Sokoto,Sahel,565.2
1972,Abuja,Guinea Savanna,1488.5
1972,Calabar,Coastal,3215.3
1972,Ilorin,Guinea Savanna,833.1
1972,Jos,Guinea Savanna,2151.7
1972,Kano,Sahel,676.9
1972,Lagos,Coastal,1909.9
1972,Maiduguri,Sahel,427.1
1972,Port Harcourt,Coastal,2632.0
1972,Sokoto,Sahel,355.6
1973,Abuja,Guinea Savanna,1347.2
1973,Calabar,Coastal,3487.4
1973,Ilorin,Guinea Savanna,767.2
1973,Jos,Guinea Savanna,1637.9
1973,Kano,Sahel,560.1
1973,Lagos,Coastal,2204.5
1973,Maiduguri,Sahel,430.9
1973,Port Harcourt,Coastal,2875.6
1973,Sokoto,Sahel,331.1
1974,Abuja,Guinea Savanna,1352.1
1974,Calabar,Coastal,3377.7
1974,Ilorin,Guinea Savanna,749.8
1974,Jos,Guinea Savanna,1772.4
1974,Kano,Sahel,716.5
1974,Lagos,Coastal,2048.3
1974,Maiduguri,Sahel,721.3
1974,Port Harcourt,Coastal,2807.5
1974,Sokoto,Sahel,418.7
1975,Abuja,Guinea Savanna,1446.2
1975,Calabar,Coastal,3120.1
1975,Ilorin,Guinea Savanna,919.6
1975,Jos,Guinea Savanna,1773.4
1975,Kano,Sahel,917.0
1975,Lagos,Coastal,1995.0
1975,Maiduguri,Sahel,499.8
1975,Port Harcourt,Coastal,2602.9
1975,Sokoto,Sahel,624.9
1976,Abuja,Guinea Savanna,1496.2
1976,Calabar,Coastal,3520.5
1976,Ilorin,Guinea Savanna,798.2
1976,Jos,Guinea Savanna,2006.5
1976,Kano,Sahel,730.1
1976,Lagos,Coastal,1944.1
1976,Maiduguri,Sahel,434.5
1976,Port Harcourt,Coastal,2802.2
1976,Sokoto,Sahel,432.6
1977,Abuja,Guinea Savanna,1130.5
1977,Calabar,Coastal,2884.0
1977,Ilorin,Guinea Savanna,616.2
1977,Jos,Guinea Savanna,1484.6
1977,Kano,Sahel,708.1
1977,Lagos,Coastal,1668.0
1977,Maiduguri,Sahel,493.0
1977,Port Harcourt,Coastal,2330.7
1977,Sokoto,Sahel,562.0
1978,Abuja,Guinea Savanna,1792.1
1978,Calabar,Coastal,3172.8
1978,Ilorin,Guinea Savanna,818.6
1978,Jos,Guinea Savanna,2191.9
1978,Kano,Sahel,810.4
1978,Lagos,Coastal,1901.3
1978,Maiduguri,Sahel,571.9
1978,Port Harcourt,Coastal,2698.8
1978,Sokoto,Sahel,464.7
1979,Abuja,Guinea Savanna,1512.8
1979,Calabar,Coastal,3354.9
1979,Ilorin,Guinea Savanna,864.0
1979,Jos,Guinea Savanna,1867.9
1979,Kano,Sahel,714.2
1979,Lagos,Coastal,2214.3
1979,Maiduguri,Sahel,511.5
